Volcano name,Volcano number,Volcano country,Volcano region,Volcano type,Summit elevation,VEI,Start date,Currently erupting (Y/N),Latitude:,Longitude:
Acatenango,507,Guatemala,Guatemala,14,3976,1,1972,0,14.501,-90.876
Acatenango,507,Guatemala,Guatemala,14,3976,2,1926,0,14.501,-90.876
Acatenango,507,Guatemala,Guatemala,14,3976,3,1924,0,14.501,-90.876
Adams,442,United States,Washington,14,3742,2,950,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,200,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-300,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-400,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-550,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,1,-1850,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-2650,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,1,-2950,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-3250,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-3550,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,1,-3800,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-4050,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-4550,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-5150,0,46.206,-121.49
Adams,442,United States,Washington,14,3742,2,-7050,0,46.206,-121.49
Adams Seamount,480,Undersea Features,Pacific Ocean central,16,-39,0,-50,0,-25.37,-129.27
Adams Seamount,480,Undersea Features,Pacific Ocean central,16,-39,0,-1050,0,-25.37,-129.27
Adams Seamount,480,Undersea Features,Pacific Ocean central,16,-39,0,-4050,0,-25.37,-129.27
Adams Seamount,480,Undersea Features,Pacific Ocean central,16,-39,0,-5050,0,-25.37,-129.27
Adatarayama,260,Japan,Honshu,14,1728,1,1996,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,2,1900,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,2,1899,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-590,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-2600,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-4300,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-6150,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-6650,0,37.647,140.281
Adatarayama,260,Japan,Honshu,14,1728,3,-8050,0,37.647,140.281
Agrigan,295,United States,Izu Volcano and Mariana Islands,14,965,4,1917,0,18.77,145.67
Agua de Pau,664,Portugal,Azores,14,947,2,1564,0,37.77,-25.47
Agua de Pau,664,Portugal,Azores,14,947,5,1563,0,37.77,-25.47
Agua de Pau,664,Portugal,Azores,14,947,4,-1290,0,37.77,-25.47
Agua de Pau,664,Portugal,Azores,14,947,3,-1850,0,37.77,-25.47
Agua de Pau,664,Portugal,Azores,14,947,5,-2990,0,37.77,-25.47
Aguilera,614,Chile,Southern Chile and Argentina,14,2546,5,-1250,0,-50.33,-73.75
Agung,168,Indonesia,Lesser Sunda Islands,14,2997,3,2017,0,-8.343,115.508
Agung,168,Indonesia,Lesser Sunda Islands,14,2997,5,1963,0,-8.343,115.508
Agung,168,Indonesia,Lesser Sunda Islands,14,2997,5,1843,0,-8.343,115.508
Agung,168,Indonesia,Lesser Sunda Islands,14,2997,2,1808,0,-8.343,115.508
Ahyi,292,United States,Izu Volcano and Mariana Islands,16,-75,0,2014,0,20.42,145.03
Ahyi,292,United States,Izu Volcano and Mariana Islands,16,-75,0,2001,0,20.42,145.03
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,2017,1,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,3,1955,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,1950,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,1948,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1946,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,1942,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1941,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1940,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1939,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1938,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,1935,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,4,1914,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,1,1860,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1799,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1797,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1794,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1791,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1790,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1785,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,3,1783,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1782,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,4,1779,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1756,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1749,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1742,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1706,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1678,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1642,0,31.593,130.657
Aira,233,Japan,Ryukyu Islands and Kyushu,1,1117,2,1478,0,31.593,130.657
