Volcano name,Volcano number,Volcano country,Volcano region,Volcano type,Latitude,Longitude,Summit elevation,VEI,Start date,Currently erupting (Y/N),Eruption status
Abu,283001,Japan,Honshu,Shield(s),34.5°N,131.6°E,641,,-6850,0,Confirmed
Acamarachi,355096,Chile,"Northern Chile, Bolivia and Argentina",Stratovolcano,23.292°S,67.618°W,6023,,,0,
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,1,1972,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,2,1926,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,3,1924,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,,1450,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,,90,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,,-260,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,,-370,0,Confirmed
Acatenango,342080,Guatemala,Guatemala,Stratovolcano(es),14.501°N,90.876°W,3976,,-2710,0,Confirmed
Acigol-Nevsehir,213004,Turkey,Turkey,Caldera,38.537°N,34.621°E,1683,,-2080,0,Confirmed
Acigol-Nevsehir,213004,Turkey,Turkey,Caldera,38.537°N,34.621°E,1683,,-2370,0,Confirmed
Acigol-Nevsehir,213004,Turkey,Turkey,Caldera,38.537°N,34.621°E,1683,,-3500,0,Confirmed
Acigol-Nevsehir,213004,Turkey,Turkey,Caldera,38.537°N,34.621°E,1683,,-6230,0,Confirmed
Acigol-Nevsehir,213004,Turkey,Turkey,Caldera,38.537°N,34.621°E,1683,,-7810,0,Confirmed
Adams,321040,United States,USA (Washington),Stratovolcano,46.206°N,121.49°W,3742,2,950,0,Confirmed
Adams,321040,United States,USA (Washington),Stratovolcano,46.206°N,121.49°W,3742,2,200,0,Confirmed
Adams,321040,United States,USA (Washington),Stratovolcano,46.206°N,121.49°W,3742,2,-300,0,Confirmed
